0.0465116	-0.0777202
0.0930233	-0.106497
0.139535	-0.129862
0.186047	-0.148621
0.232558	-0.163466
0.27907	-0.174986
0.325581	-0.183686
0.372093	-0.189996
0.418605	-0.194285
0.465116	-0.196865
0.511628	-0.198007
0.55814	-0.197939
0.604651	-0.196859
0.651163	-0.194935
0.697674	-0.192313
0.744186	-0.189115
0.790698	-0.185448
0.837209	-0.181404
0.883721	-0.177062
0.930233	-0.172487
0.976744	-0.167738
1.02326	-0.162865
1.06977	-0.157909
1.11628	-0.152908
1.16279	-0.14789
1.2093	-0.142884
1.25581	-0.13791
1.30233	-0.132988
1.34884	-0.128133
1.39535	-0.123359
1.44186	-0.118676
1.48837	-0.114093
1.53488	-0.109616
1.5814	-0.105253
1.62791	-0.101006
1.67442	-0.0968789
1.72093	-0.092874
1.76744	-0.0889924
1.81395	-0.0852349
1.86047	-0.0816011
1.90698	-0.0780907
1.95349	-0.0747024
2	-0.0714349
2.04651	-0.0682864
2.09302	-0.0652547
2.13953	-0.0623376
2.18605	-0.0595326
2.23256	-0.0568371
2.27907	-0.0542482
2.32558	-0.0517632
2.37209	-0.0493791
2.4186	-0.047093
2.46512	-0.0449018
2.51163	-0.0428026
2.55814	-0.0407923
2.60465	-0.038868
2.65116	-0.0370266
2.69767	-0.0352653
2.74419	-0.0335812
2.7907	-0.0319714
2.83721	-0.0304332
2.88372	-0.0289638
2.93023	-0.0275606
2.97674	-0.0262209
3.02326	-0.0249423
3.06977	-0.0237223
3.11628	-0.0225585
3.16279	-0.0214486
3.2093	-0.0203903
3.25581	-0.0193815
3.30233	-0.0184201
3.34884	-0.017504
3.39535	-0.0166313
3.44186	-0.0158001
3.48837	-0.0150086
3.53488	-0.014255
3.5814	-0.0135377
3.62791	-0.012855
3.67442	-0.0122053
3.72093	-0.0115872
3.76744	-0.0109993
3.81395	-0.0104401
3.86047	-0.00990826
3.90698	-0.00940262
3.95349	-0.00892191
4	-0.00846497
4.04651	-0.00803069
4.09302	-0.00761799
4.13953	-0.00722586
4.18605	-0.00685332
4.23256	-0.00649942
4.27907	-0.00616329
4.32558	-0.00584406
4.37209	-0.00554092
4.4186	-0.0052531
4.46512	-0.00497984
4.51163	-0.00472044
4.55814	-0.00447422
4.60465	-0.00424054
4.65116	-0.00401877
4.69767	-0.00380834
4.74419	-0.00360868
4.7907	-0.00341926
4.83721	-0.00323956
